s0,s10,s90,s90d,red_flag
114,92,131,18,0
26,27,12,0,0
82,32,30,8,0
42,30,17,2,0
91,68,65,6,0
98,98,139,39,1
44,38,8,1,0
95,84,71,4,0
100,77,99,11,0
97,86,89,15,0
100,56,30,1,0
83,70,59,6,0
40,34,7,0,0
101,77,86,14,0
93,64,80,7,0
36,32,6,0,0
104,75,80,9,0
93,78,38,3,0
29,25,19,0,0
80,42,17,2,0
83,42,24,6,0
41,32,8,2,0
48,36,25,1,0
107,88,88,12,0
108,79,127,25,0
38,33,11,0,0
114,89,84,16,0
33,26,6,2,0
112,90,111,8,0
44,40,8,3,0
103,80,117,12,0
115,86,118,14,0
102,79,107,15,0
94,46,20,1,0
103,80,77,13,0
47,34,19,3,0
99,82,77,9,0
110,66,90,6,0
35,31,12,0,0
100,78,90,17,0
99,85,87,6,0
39,28,7,0,0
42,30,12,1,0
43,43,13,1,0
115,97,137,23,0
44,32,13,0,0
92,75,91,9,0
32,25,9,3,0
102,83,83,10,0
103,77,116,10,0
72,39,8,1,0
96,79,73,10,0
102,71,95,8,0
32,16,16,1,0
95,69,57,8,0
92,37,27,0,0
41,35,11,1,0
46,40,8,0,0
20,14,16,1,0
94,70,81,7,0
106,82,85,9,0
100,88,98,20,0
99,84,93,8,0
95,89,90,17,0
96,75,88,15,0
105,54,33,3,0
106,77,94,17,0
45,25,12,2,0
107,78,109,6,0
40,31,9,0,0
80,77,138,81,1
40,34,14,0,0
54,26,13,4,0
44,40,10,0,0
102,82,72,18,0
35,30,7,0,0
89,79,64,12,0
37,26,10,0,0
95,69,103,12,0
32,30,9,0,0
45,34,5,6,0
57,41,11,4,0
67,38,14,5,0
98,94,91,14,0
101,90,109,18,0
50,34,11,0,0
122,93,135,11,0
45,29,8,0,0
60,66,49,42,1
101,81,70,1,0
102,69,87,10,0
115,64,58,18,0
42,41,11,4,0
29,30,12,2,0
114,91,133,18,0
40,28,17,0,0
99,94,74,20,0
61,27,39,5,0
118,110,165,33,0
72,69,49,4,0
38,33,11,0,0
118,69,83,16,0
101,62,75,13,0
42,41,11,4,0
106,80,68,3,0
106,63,27,0,0
100,89,104,14,0
103,96,106,13,0
74,75,177,111,1
43,36,9,2,0
101,74,102,18,0
38,30,14,0,0
47,37,13,5,0
52,35,11,1,0
37,27,8,0,0
76,79,81,52,1
35,22,6,3,0
27,22,10,2,0
101,79,60,12,0
109,82,95,14,0
104,83,80,9,0
38,28,16,6,0
35,32,11,0,0
37,31,9,0,0
83,49,15,3,0
99,66,72,10,0
114,87,131,15,0
108,78,60,6,0
49,34,7,0,0
57,45,21,2,0
109,85,86,9,0
89,66,52,12,0
46,33,9,3,0
19,18,18,0,0
42,34,13,0,0
97,77,119,21,0
51,35,14,0,0
115,76,91,13,0
95,51,30,3,0
106,74,65,9,0
51,32,13,0,0
43,35,15,5,0
36,21,10,0,0
102,78,88,16,0
40,36,7,0,0
110,71,89,20,0
37,29,2,0,0
96,89,113,28,0
107,53,24,2,0
104,87,113,12,0
92,53,23,1,0
96,46,22,0,0
43,34,11,0,0
45,27,9,1,0
88,39,19,0,0
37,27,7,0,0
94,76,99,7,0
52,40,16,4,0
122,112,107,15,0
45,39,7,0,0
41,34,10,4,0
34,95,29,4,0
115,62,102,16,0
92,64,70,17,0
114,74,87,16,0
40,35,10,0,0
99,72,65,9,0
45,36,12,0,0
66,49,15,0,0
37,36,15,0,0
106,87,76,6,0
39,33,16,3,0
47,34,8,1,0
101,66,57,9,0
44,28,8,0,0
41,31,9,5,0
100,74,76,7,0
39,23,2,0,0
45,29,10,0,0
73,45,18,0,0
33,31,5,1,0
44,41,14,3,0
106,77,76,16,0
48,34,6,2,0
102,72,117,12,0
43,41,11,0,0
105,78,98,13,0
92,42,20,0,0
40,27,10,1,0
53,34,8,3,0
46,30,22,2,0
50,32,22,2,0
105,77,84,18,0
105,78,96,14,0
48,36,15,3,0
101,81,71,11,0
95,73,87,10,0
14,9,7,0,0
43,35,9,7,0
120,78,87,19,0
99,76,95,14,0
102,53,25,3,0
15,17,17,3,0
102,50,23,3,0
99,80,102,12,0
101,77,99,17,0
104,75,127,14,0
45,38,7,6,0
99,89,114,16,0
45,38,13,5,0
48,36,16,0,0
105,55,23,1,0
95,67,59,10,0
111,84,85,18,0
99,81,91,13,0
37,34,8,0,0
38,29,12,4,0
99,39,25,2,0
100,84,81,8,0
50,38,13,3,0
64,44,11,6,0
102,76,92,8,0
99,44,20,1,0
90,50,17,0,0
16,12,8,0,0
39,27,8,0,0
99,51,50,1,0
94,69,90,7,0
95,86,140,16,0
45,29,16,0,0
42,36,12,1,0
46,29,11,0,0
91,63,77,18,0
48,26,20,3,0
41,36,8,3,0
95,44,15,4,0
44,32,12,3,0
44,43,7,2,0
47,32,12,0,0
113,62,141,17,0
96,55,22,2,0
47,34,19,0,0
39,32,5,0,0
31,28,7,0,0
67,47,13,3,0
95,56,28,1,0
43,30,12,4,0
42,33,10,0,0
101,54,24,0,0
41,31,11,0,0
33,30,5,1,0
47,31,13,1,0
105,85,81,8,0
103,77,85,10,0
43,31,11,0,0
97,82,80,15,0
110,86,88,14,0
95,70,70,11,0
43,28,7,1,0
49,35,12,0,0
88,49,20,0,0
47,32,16,0,0
36,22,5,0,0
48,34,13,3,0
36,29,4,4,0
31,27,9,1,0
105,81,101,19,0
100,71,96,14,0
104,55,30,0,0
40,26,20,4,0
110,73,116,12,0
104,77,77,6,0
15,17,6,0,0
45,37,10,3,0
77,60,81,1,0
16,22,14,7,0
43,37,6,0,0
13,12,13,2,0
46,26,14,0,0
95,82,109,16,0
90,68,52,13,0
89,89,66,8,0
102,60,93,7,0
99,72,65,13,0
100,41,28,0,0
96,48,23,0,0
126,62,123,21,0
44,33,8,0,0
103,75,124,12,0
48,33,15,1,0
70,33,17,2,0
48,38,11,2,0
45,37,8,0,0
42,31,16,0,0
102,82,74,18,0
83,67,82,11,0
95,50,26,2,0
109,90,137,20,0
41,30,7,1,0
106,56,19,0,0
87,35,29,0,0
41,37,11,0,0
74,29,34,0,0
48,24,9,0,0
119,77,128,19,0
49,36,9,0,0
43,31,42,2,0
47,33,14,0,0
46,25,10,0,0
105,99,129,15,0
102,63,67,3,0
50,44,9,0,0
108,75,93,16,0
41,34,15,0,0
115,74,96,19,0
32,30,10,0,0
42,38,9,1,0
103,72,109,10,0
48,32,12,0,0
53,32,19,1,0
40,35,13,3,0
85,58,50,10,0
113,84,96,8,0
45,35,11,3,0
105,75,113,17,0
105,76,99,13,0
111,80,96,23,0
44,26,15,0,0
107,79,79,8,0
49,29,18,0,0
46,36,12,5,0
109,68,85,15,0
32,20,11,3,0
55,46,14,1,0
47,27,32,0,0
113,81,99,9,0
31,28,10,0,0
71,36,59,5,0
46,30,11,0,0
40,14,12,1,0
99,94,101,24,0
98,41,31,1,0
17,21,17,1,0
48,32,9,0,0
77,40,17,8,0
95,79,138,16,0
119,66,77,11,0
55,42,16,0,0
111,73,99,19,0
45,31,12,2,0
98,75,81,20,0
91,43,25,0,0
38,25,22,0,0
101,81,103,18,0
95,71,71,10,0
93,82,99,27,0
116,87,139,25,0
106,91,134,24,0
36,25,19,1,0
97,76,132,12,0
66,39,14,1,0
48,37,18,5,0
93,67,78,9,0
38,30,6,0,0
50,27,14,2,0
75,34,25,2,0
87,48,14,2,0
38,27,11,3,0
35,27,16,2,0
54,35,16,2,0
46,39,4,0,0
45,31,11,3,0
115,83,174,24,0
43,34,6,0,0
44,34,15,2,0
44,35,5,1,0
47,30,11,4,0
72,93,94,104,1
116,80,131,26,0
101,80,62,11,0
48,34,14,4,0
78,48,22,9,0
39,44,9,5,0
105,74,69,13,0
111,80,127,17,0
111,87,102,19,0
98,70,54,9,0
33,28,13,2,0
44,34,15,1,0
84,67,72,13,0
106,70,78,14,0
69,79,101,73,1
38,35,12,0,0
35,37,9,0,0
111,51,111,9,0
41,35,10,0,0
70,90,112,76,1
38,24,5,2,0
40,33,15,0,0
121,87,92,20,0
102,69,50,12,0
92,71,61,4,0
83,47,27,5,0
100,50,28,2,0
47,34,11,0,0
39,38,11,2,0
32,25,8,0,0
87,66,62,11,0
41,40,13,0,0
40,39,10,0,0
91,76,76,5,0
36,30,10,0,0
74,120,249,248,1
50,33,11,0,0
40,28,11,2,0
37,36,14,0,0
59,29,15,1,0
53,37,11,2,0
102,50,25,4,0
104,84,85,7,0
101,79,66,7,0
53,41,24,0,0
96,96,104,20,0
42,24,18,1,0
90,58,55,8,0
46,36,12,2,0
104,86,92,16,0
118,85,98,9,0
112,70,57,13,0
38,33,8,5,0
110,75,88,10,0
